Sr. No.,Q,P1,P2,Pcd,Phd,T1,T2,T3,T4,Eff,Efficiency,,,,
283,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
284,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
285,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
286,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
287,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
288,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
289,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
290,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
291,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
292,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
293,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
294,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
295,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
296,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
297,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
298,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
299,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
300,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
301,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
302,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
303,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
304,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
305,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
306,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
307,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
308,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
309,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
310,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
311,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
312,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
313,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
314,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
315,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
316,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
317,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
318,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
319,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
320,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
321,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
322,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
323,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
324,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
325,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
326,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
327,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
328,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
329,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
330,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
331,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
332,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
333,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
334,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
335,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
336,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
337,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
338,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
339,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
340,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
341,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
342,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
343,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
344,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
345,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
346,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
347,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
348,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
349,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
350,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
351,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
352,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
353,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
354,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
355,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
356,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
357,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
358,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
359,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
360,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
361,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
362,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
363,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
364,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
365,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
366,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
367,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
368,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
369,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
370,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
371,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
372,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
373,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
374,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
375,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
376,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
377,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
378,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
379,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
380,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
381,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
382,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
383,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
384,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
385,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
386,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
387,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
388,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
389,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
390,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
391,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
392,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
393,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
394,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
395,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
396,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
397,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
398,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
399,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
400,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
401,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
402,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
403,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
404,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
405,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
406,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
407,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
408,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
409,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
410,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
411,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
412,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
413,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
414,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
415,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
416,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
417,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
418,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
419,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
420,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
421,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
422,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
423,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
424,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
425,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
426,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
427,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
428,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
429,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
430,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
431,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
432,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
433,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
434,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
435,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
436,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
437,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
438,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
439,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
440,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
441,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
442,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
443,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
444,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
445,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
446,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
447,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
448,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
449,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
450,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
451,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
452,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
453,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
454,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
455,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
456,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
457,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
458,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
459,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
460,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
461,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
462,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
463,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
464,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
465,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
466,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
467,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
468,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
469,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
470,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
471,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
472,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
473,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
474,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
475,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
476,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
477,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
478,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
479,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
480,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
481,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
482,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
483,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
484,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
485,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
486,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
487,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
488,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
489,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
490,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
491,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
492,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
493,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
494,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
495,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
496,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
497,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
498,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
499,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
500,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
501,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
502,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
503,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
504,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
505,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
506,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
507,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
508,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
509,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
510,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
511,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
512,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
513,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
514,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
515,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
516,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
517,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
518,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
519,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
520,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
521,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
522,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
523,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
524,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
525,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
526,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
527,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
528,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
529,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
530,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
531,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
532,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
533,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
534,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
535,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
536,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
537,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
538,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
539,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
540,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
541,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
542,400,0.09,0.12,15,12,314.27,343.34,354.12,320.08,0.890783,L_Efficiency,,,,
543,500,0.08,0.17,21,21,313.31,342.91,353.14,320.07,0.901146,M_Efficiency,,,,
544,550,0.14,0.2,25,27,312.67,341.68,352.12,319.43,0.901345,M_Efficiency,,,,
545,588,0.2,0.24,32,31,311.21,340.47,351.14,319.4,0.912367,H_Efficiency,,,,
546,650,0.24,0.26,37,35,311.17,339.37,350.12,319.39,0.943256,H_Efficiency,,,,
547,300,0.28,0.06,10,7,316.63,339.27,349.14,319.36,0.891235,L_Efficiency,,,,
548,400,0.32,0.12,16,14,315.74,338.28,347.12,318.91,0.890783,L_Efficiency,,,,
549,500,0.09,0.17,22,22,314.32,337.34,345.14,318.63,0.901146,M_Efficiency,,,,
550,550,0.08,0.2,24,26,313.72,336.32,342.12,318.41,0.901345,M_Efficiency,,,,
551,588,0.14,0.24,31,30,312.43,336.15,340.14,317.47,M_Efficiency,M_Efficiency,,,,
552,650,0.2,0.26,40,33,312.32,335.31,339.12,317.22,M_Efficiency,M_Efficiency,,,,
553,300,0.08,0.06,9,6,315.24,360.25,368.22,321.17,0.891235,L_Efficiency,,,,
554,400,0.14,0.12,15,12,314.27,358.25,367.17,321.16,0.890783,L_Efficiency,,,,
555,500,0.2,0.17,21,21,313.31,354.31,366.14,321.15,0.901146,M_Efficiency,,,,
556,550,0.24,0.2,25,27,312.67,351.27,365.12,321.14,0.901345,M_Efficiency,,,,
557,588,0.26,0.24,32,31,311.21,349.29,364.14,321.13,0.912367,H_Efficiency,,,,
558,650,0.32,0.26,37,35,311.17,347.73,363.12,321.12,0.943256,H_Efficiency,,,,
559,300,0.09,0.06,10,7,316.63,347.02,362.14,321.11,0.891235,L_Efficiency,,,,
560,400,0.08,0.12,16,14,315.74,346.65,361.12,321.11,0.890783,L_Efficiency,,,,
561,500,0.14,0.17,22,22,314.32,346.21,360.14,320.14,0.901146,M_Efficiency,,,,
562,550,0.2,0.2,24,26,313.72,345.93,359.12,320.13,0.901345,M_Efficiency,,,,
563,588,0.24,0.24,31,30,312.43,345.89,358.14,320.12,0.912367,H_Efficiency,,,,
564,650,0.28,0.26,40,33,312.32,344.65,357.12,320.11,0.943256,H_Efficiency,,,,
565,300,0.32,0.06,9,6,315.24,344.69,356.14,320.09,0.891235,L_Efficiency,,,,
